Run Number,Solver,Energie,Params,Method,Qubo,Dimensions,Want Result,Result,Correct,Solve Time
0,D-Wave_QPU,-0.010711833347375688,,AEB,[ 3.99383724  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
1,D-Wave_QPU,-0.010392057468778582,,AEB,[ 3.99618668  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
2,D-Wave_QPU,-0.011023052454102178,,AEB,[ 3.99537068  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
3,D-Wave_QPU,-0.010443127664834684,,AEB,[ 3.99447745  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
4,D-Wave_QPU,-0.010872353978005123,,AEB,[ 3.99358339  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
5,D-Wave_QPU,-0.010213712112078,,AEB,[ 3.99429745  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
6,D-Wave_QPU,-0.010682983887075892,,AEB,[ 3.99463098  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
7,D-Wave_QPU,-0.010565014852563337,,AEB,[ 3.99420833  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
8,D-Wave_QPU,-0.010077370415912057,,AEB,[ 3.9948857  4.        -4.        -2.        -2.         2.       ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
9,D-Wave_QPU,-0.010002587786583916,,AEB,[ 3.99477831  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,
