Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
0,QAOA,[-0.010149839330142019],{},AEB,[ 3.99481009  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=1.8582351207733154 overhead=None qpu=None
1,QAOA,[-0.010503129189384897],{},AEB,[ 3.99367593  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=1.5947155952453613 overhead=None qpu=None
2,QAOA,[-0.010028514083273876],{},AEB,[ 3.99553558  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=1.621882438659668 overhead=None qpu=None
3,QAOA,[-0.009986695086622088],{},AEB,[ 3.99544796  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.354050636291504 overhead=None qpu=None
4,QAOA,[-0.011163335054028334],{},AEB,[ 3.99377093  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.164276599884033 overhead=None qpu=None
5,QAOA,[-0.01044563468331905],{},AEB,[ 3.99549222  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.035865068435669 overhead=None qpu=None
6,QAOA,[-0.010140835298701578],{},AEB,[ 3.99390865  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=1.7174956798553467 overhead=None qpu=None
7,QAOA,[-0.010705109112992606],{},AEB,[ 3.99386232  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.0030500888824463 overhead=None qpu=None
8,QAOA,[-0.010203803716614335],{},AEB,[ 3.99426585  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.044708251953125 overhead=None qpu=None
9,QAOA,[-0.010309964535277327],{},AEB,[ 3.99427101  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.0084779262542725 overhead=None qpu=None
10,QAOA,[-0.011391290688963718],{},AEB,"[ 3.99563538  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=50.321428060531616 overhead=None qpu=None
11,QAOA,[4.000859461613333],{},AEB,"[ 3.99639839  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",False,total=38.21435785293579 overhead=None qpu=None
12,QAOA,[-0.002533111297374102],{},AEB,"[ 3.99588457  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",False,total=129.8529510498047 overhead=None qpu=None
13,QAOA,[-0.0011184886242494585],{},AEB,"[ 3.99537537  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",False,total=101.8531448841095 overhead=None qpu=None
14,QAOA,[-0.0018155935822044],{},AEB,"[ 3.99708831  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",False,total=67.11635661125183 overhead=None qpu=None
15,QAOA,[-0.009988638325233445],{},AEB,"[ 3.99651426  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=57.119548320770264 overhead=None qpu=None
16,QAOA,[0.008534656792724249],{},AEB,"[ 3.99547939  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",False,total=66.5766978263855 overhead=None qpu=None
17,QAOA,[-0.003486280362565264],{},AEB,"[ 3.99644416  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",False,total=72.12839865684509 overhead=None qpu=None
18,QAOA,[-0.0020999584641958613],{},AEB,"[ 3.9952953  4.         4.        -4.        -2.        -2.
 -2.         2.        -0.        -2.         2.        -0.       ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",False,total=96.53875803947449 overhead=None qpu=None
19,QAOA,[-0.005195682720076977],{},AEB,"[ 3.99663954  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",False,total=67.90188956260681 overhead=None qpu=None
