Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
0,QAOA,[-0.010893613170827265],{},AEB,[ 3.99339024  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=3.0541749000549316 overhead=None qpu=None
1,QAOA,[-0.010158587519858209],{},AEB,[ 3.99518172  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.950265645980835 overhead=None qpu=None
2,QAOA,[-0.010730943257832415],{},AEB,[ 3.99492531  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.048093318939209 overhead=None qpu=None
3,QAOA,[-0.0028250214953531305],{},AEB,[ 3.99547353  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 1, 0, 0, 0]",False,total=2.498384475708008 overhead=None qpu=None
4,QAOA,[-0.010840671988288975],{},AEB,[ 3.99413228  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=1.9958267211914062 overhead=None qpu=None
5,QAOA,[-0.01078460649952051],{},AEB,[ 3.99484832  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.4382967948913574 overhead=None qpu=None
6,QAOA,[-0.010050288265493812],{},AEB,[ 3.99431448  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.158053398132324 overhead=None qpu=None
7,QAOA,[-0.010006059568480996],{},AEB,[ 3.99479347  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.201956033706665 overhead=None qpu=None
8,QAOA,[-0.010760812465430813],{},AEB,[ 3.99442974  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=2.222818613052368 overhead=None qpu=None
9,QAOA,[-0.010498066373592074],{},AEB,[ 3.99443233  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=3.2897486686706543 overhead=None qpu=None
10,QAOA,[-0.0013269455358302373],{},AEB,"[ 3.99501296  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",False,total=80.0428032875061 overhead=None qpu=None
11,QAOA,[-0.0021383377718757757],{},AEB,"[ 3.9965997  4.         4.        -4.        -2.        -2.
 -2.         2.        -0.        -2.         2.        -0.       ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",False,total=67.90706419944763 overhead=None qpu=None
12,QAOA,[-0.001341261953329731],{},AEB,"[ 3.99556601  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1]",False,total=85.40010809898376 overhead=None qpu=None
13,QAOA,[-0.0033674291512038046],{},AEB,"[ 3.99674033  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",False,total=120.08218836784363 overhead=None qpu=None
14,QAOA,[0.0016012813669741277],{},AEB,"[ 3.99632299  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",False,total=75.34679508209229 overhead=None qpu=None
15,QAOA,[-0.0010472999378023928],{},AEB,"[ 3.99751198  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",False,total=72.2582483291626 overhead=None qpu=None
16,QAOA,[-0.0030589138421270867],{},AEB,"[ 3.99666637  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",False,total=65.89285230636597 overhead=None qpu=None
17,QAOA,[0.0],{},AEB,"[ 3.99611083  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",False,total=58.161813259124756 overhead=None qpu=None
18,QAOA,[0.004665082080794747],{},AEB,"[ 3.99623422  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",False,total=77.80673456192017 overhead=None qpu=None
