Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
0,SA,[-0.009969188142020968],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99485228  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005532026290893555 overhead=None qpu=None
1,SA,[-0.010801412202262384],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99494429  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0049896240234375 overhead=None qpu=None
2,SA,[-0.01086037330522771],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99518202  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.007363796234130859 overhead=None qpu=None
3,SA,[-0.011235517553942032],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99386204  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005138397216796875 overhead=None qpu=None
4,SA,[-0.011269302287944427],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99455844  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005225419998168945 overhead=None qpu=None
5,SA,[-0.011312234422769407],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99484543  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005280017852783203 overhead=None qpu=None
6,SA,[-0.011094125684962819],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99497433  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.004945039749145508 overhead=None qpu=None
7,SA,[-0.010723521171801309],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99407292  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0054433345794677734 overhead=None qpu=None
8,SA,[-0.010043175408180005],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99446064  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005204439163208008 overhead=None qpu=None
9,SA,[-0.01089923457243458],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.9957031  4.        -4.        -2.        -2.         2.       ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005194664001464844 overhead=None qpu=None
