Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
0,SAGA,"[-0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061, -0.01040787490292061]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99422364  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7728986740112305 overhead=None qpu=None
1,SAGA,"[-0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351, -0.010683423854681351]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99431686  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7277812957763672 overhead=None qpu=None
2,SAGA,"[-0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242, -0.01001406950246242]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99485482  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7514281272888184 overhead=None qpu=None
3,SAGA,"[-0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256, -0.011289461468271256]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99538007  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6977074146270752 overhead=None qpu=None
4,SAGA,"[-0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251, -0.010120932438445251]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99614391  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7119293212890625 overhead=None qpu=None
5,SAGA,"[-0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957, -0.010839991338690957]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99540463  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7380647659301758 overhead=None qpu=None
6,SAGA,"[-0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573, -0.010594454749261573]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99481791  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7049589157104492 overhead=None qpu=None
7,SAGA,"[-0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073, -0.010583874767688073]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99421749  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7236664295196533 overhead=None qpu=None
8,SAGA,"[-0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047, -0.01017521666745047]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99624146  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7626962661743164 overhead=None qpu=None
9,SAGA,"[-0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648, -0.01065244050790648]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99512435  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7650365829467773 overhead=None qpu=None
