Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
0,SAGA,"[-0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956, -0.010633981555407956]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99481631  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6610007286071777 overhead=None qpu=None
1,SAGA,"[-0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259, -0.01054982883245259]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99411312  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6735901832580566 overhead=None qpu=None
2,SAGA,"[-0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895, -0.010737469622347895]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99466295  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6798944473266602 overhead=None qpu=None
3,SAGA,"[-0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912, -0.010626618227048912]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99432561  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6781871318817139 overhead=None qpu=None
4,SAGA,"[-0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938, -0.011408631665426938]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99426501  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6806049346923828 overhead=None qpu=None
5,SAGA,"[-0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615, -0.010909178039259615]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99511957  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6725871562957764 overhead=None qpu=None
6,SAGA,"[-0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729, -0.010258069101505729]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99539195  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6746866703033447 overhead=None qpu=None
7,SAGA,"[-0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825, -0.010088212198554825]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99448198  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6898138523101807 overhead=None qpu=None
8,SAGA,"[-0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404, -0.01096221686590404]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.993528  4.       -4.       -2.       -2.        2.      ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6761798858642578 overhead=None qpu=None
9,SAGA,"[-0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119, -0.01055130767783119]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99541608  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.7006702423095703 overhead=None qpu=None
