Run Number,Solver,Energie,Params,Method,Qubo,Dimensions,Want Result,Result,Correct,Solve Time
0,QQ,[-0.01124000778779255],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,[ 3.9934453  4.        -4.        -2.        -2.         2.       ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=7.750955104827881 overhead=None qpu=None
1,QQ,[-0.010694937617092393],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,[ 3.99627881  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=7.802946090698242 overhead=None qpu=None
2,QQ,[-0.011127884998325399],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,[ 3.99420447  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=7.741180658340454 overhead=None qpu=None
3,QQ,[-0.009999771083928799],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,[ 3.99609917  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=7.722123622894287 overhead=None qpu=None
4,QQ,[-0.010809852965817157],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,[ 3.9950682  4.        -4.        -2.        -2.         2.       ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=7.986517667770386 overhead=None qpu=None
5,QQ,[-0.010831820938282277],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,[ 3.99443734  4.         -4.         -2.         -2.          2.        ],6,"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=7.59794807434082 overhead=None qpu=None
6,QQ,[-0.010925440987815449],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99629719  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]",12,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=7.9354329109191895 overhead=None qpu=None
7,QQ,[-0.010660460678453276],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99634196  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]",12,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=7.722060441970825 overhead=None qpu=None
8,QQ,[-0.011299236102732202],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99633033  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]",12,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=8.013252973556519 overhead=None qpu=None
9,QQ,[-0.011324842516996725],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99639857  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]",12,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=7.7401885986328125 overhead=None qpu=None
10,QQ,[-0.011051436458955344],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99659533  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]",12,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=7.7809131145477295 overhead=None qpu=None
11,QQ,[-0.010454104078835513],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99755426  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]",12,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=8.072128534317017 overhead=None qpu=None
12,QQ,[-0.010438617880578427],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99818209  4.          4.          4.         -4.         -2.
 -2.         -2.         -2.          2.         -0.         -0.
 -2.          2.         -0.         -0.         -2.          2.
 -0.         -0.        ]",20,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",True,total=7.741249322891235 overhead=None qpu=None
13,QQ,[-0.010910001826177407],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99816148  4.          4.          4.         -4.         -2.
 -2.         -2.         -2.          2.         -0.         -0.
 -2.          2.         -0.         -0.         -2.          2.
 -0.         -0.        ]",20,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",True,total=7.740635395050049 overhead=None qpu=None
14,QQ,[-0.011361709514148721],"{'qpu_config': {'token': 'DEV-a623b107205b94959819a8de3b25edaeadd8c146'}, 'decomposer_size': 10, 'rolling': True, 'rolling_history': 0.15, 'max_iter': 10, 'convergence': 3, 'max_time': 5, 'cpu_count_multiplier': 5}",AEB,"[ 3.99704916  4.          4.          4.         -4.         -2.
 -2.         -2.         -2.          2.         -0.         -0.
 -2.          2.         -0.         -0.         -2.          2.
 -0.         -0.        ]",20,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",True,total=8.084118366241455 overhead=None qpu=None
